identifier,name,has_kiosk,needs_maintenance,dock_count,docked_bike_count,address
21,Florence Bank Station,0,0,7,4,19 Meadow St Northampton MA 01062
24,Florence Center,0,0,10,2,31 Main Street Florence MA
30,Jackson Street,0,0,16,8,7A-7D Jackson Street Northampton MA
25,Cooley Dickinson Health Care,0,1,14,6,51 Locust Street Northampton MA
29,State St/Mass Central Rail Trail,0,0,10,4,1740 Hardwick Rd New Braintree MA 01531
33,Northampton High School,0,0,15,8,380 Elm Street Northampton MA
20,Village Hill/State Hospital,0,0,14,6,1 Prince St Northampton MA 01060
26,John M Greene Hall/Smith College,0,0,16,5,60 Elm St Northampton MA 01060
23,Forbes Library,0,0,13,6,20 West Street Northampton MA
27,Pulaski Park/Downtown,1,0,11,3,240 Main St Northampton MA 01060
31,Main Street/Court House,0,1,10,3,99 Main Street Northampton MA
28,Northampton Train Station,1,0,13,5,Northampton Train Station
32,Main Street/Bridge Street,0,0,15,8,1 Bridge Street Northampton MA
22,YMCA/Childs Park,0,0,17,8,71 N Elm St Northampton MA 01060